TotalPackets, totalPacketsIn, totalPacketsOut, totalBytes, totalBytesIn, totalBytesOut, minPacketSize, maxPacketSize, meanPacketSizes, stdevPacketSizes, variancePacketSizes, kurtosisPacketSizes, skewPacketSizes, p10PacketSizes, p20PacketSizes, p30PacketSizes, p40PacketSizes, p50PacketSizes, p60PacketSizes, p70PacketSizes, p80PacketSizes, p90PacketSizes, minPacketSizeIn, maxPacketSizeIn, meanPacketSizesIn, stdevPacketSizesIn, variancePacketSizesIn, skewPacketSizesIn, kurtosisPacketSizesIn, p10PacketSizesIn, p20PacketSizesIn, p30PacketSizesIn, p40PacketSizesIn, p50PacketSizesIn, p60PacketSizesIn, p70PacketSizesIn, p80PacketSizesIn, p90PacketSizesIn, minPacketSizeOut, maxPacketSizeOut, meanPacketSizesOut, stdevPacketSizesOut, variancePacketSizesOut, skewPacketSizesOut, kurtosisPacketSizesOut, p10PacketSizesOut, p20PacketSizesOut, p30PacketSizesOut, p40PacketSizesOut, p50PacketSizesOut, p60PacketSizesOut, p70PacketSizesOut, p80PacketSizesOut, p90PacketSizesOut, maxIPT, minIPT, meanPacketTimes, stdevPacketTimes, variancePacketTimes, kurtosisPacketTimes, skewPacketTimes, p10PacketTimes, p20PacketTimes, p30PacketTimes, p40PacketTimes, p50PacketTimes, p60PacketTimes, p70PacketTimes, p80PacketTimes, p90PacketTimes, minPacketTimesIn, maxPacketTimesIn, meanPacketTimesIn, stdevPacketTimesIn, variancePacketTimesIn, skewPacketTimesIn, kurtosisPacketTimesIn, p10PacketTimesIn, p20PacketTimesIn, p30PacketTimesIn, p40PacketTimesIn, p50PacketTimesIn, p60PacketTimesIn, p70PacketTimesIn, p80PacketTimesIn, p90PacketTimesIn, minPacketTimesOut, maxPacketTimesOut, meanPacketTimesOut, stdevPacketTimesOut, variancePacketTimesOut, skewPacketTimesOut, kurtosisPacketTimesOut, p10PacketTimesOut, p20PacketTimesOut, p30PacketTimesOut, p40PacketTimesOut, p50PacketTimesOut, p60PacketTimesOut, p70PacketTimesOut, p80PacketTimesOut, p90PacketTimesOut, Class
711, 425, 286, 68828, 37374, 31454, 66, 744, 96.80450070323488, 41.610135922992214, 1731.4034115298869, 163.791183566801, 11.321038037883568, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 66, 171, 87.93882352941176, 17.492883219235168, 306.00096332179936, 0.09818216753882525, 0.5626260528239659, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 104.0, 104.0, 104.0, 66, 744, 109.97902097902097, 59.65905092342214, 3559.2023570834763, 8.933903243311278, 86.88125056974205, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 460.35194396972656, 0.0040531158447265625, 38.38350537797095, 61.272654344464414, 3754.338170416214, 3.1750754031215944, 1.8075276021464173, 0.04100799560546875, 0.06737709045410159, 0.21004676818847656, 0.2603530883789064, 13.38350772857666, 18.2568073272705, 24.77729320526123, 30.408334732055813, 161.607027053833, 0.0040531158447265625, 460.35194396972656, 50.73971231028719, 76.17272045944884, 5802.2833421933365, 1.0826621600658246, 0.4317407403484239, 0.03910064697265625, 0.041961669921875, 0.05698204040527344, 0.20427703857421878, 0.21004676818847656, 0.2167701721191406, 118.22731494903564, 161.59610748291016, 161.61513328552246, 0.21219253540039062, 183.76898765563965, 20.065212583208417, 12.502767001182887, 156.31918268586773, 8.139949255552644, 101.48652102833297, 9.66191291809082, 13.365030288696289, 13.417959213256836, 17.088890075683594, 20.645976066589355, 24.72209930419922, 24.764537811279297, 24.80292320251465, 26.517510414123535, press_key
710, 425, 285, 68767, 37374, 31393, 66, 749, 96.85492957746479, 41.733123564619866, 1741.6536024598297, 164.5572994883499, 11.356680032522798, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 66, 171, 87.93882352941176, 17.492883219235168, 306.00096332179936, 0.09818216753882525, 0.5626260528239659, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 104.0, 104.0, 104.0, 66, 749, 110.15087719298245, 59.89331193898036, 3587.208815020007, 8.952496701559932, 87.09633860452398, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 460.64281463623047, 0.0050067901611328125, 38.772719198961354, 62.26231517709863, 3876.595891212366, 3.5324110054041293, 1.860673233164293, 0.05698204040527344, 0.07104873657226562, 0.2090930938720703, 0.2751827239990233, 13.404130935668945, 18.26605796813966, 24.77426528930664, 30.893993377685433, 161.56506538391113, 0.0050067901611328125, 460.64281463623047, 50.81122326401045, 76.22454620833439, 5810.181444666504, 1.0797840934989282, 0.4246006023770481, 0.05698204040527344, 0.05793571472167969, 0.06287097930908203, 0.1873016357421875, 0.20897388458251953, 0.21905899047851562, 121.98529243469221, 161.5549087524414, 161.58361434936523, 0.2429485321044922, 342.7150249481201, 20.86280437937954, 21.531133674863067, 463.58971732482235, 12.189762254151596, 174.46107616775922, 13.238239288330078, 13.384866714477539, 13.436079025268555, 13.500165939331055, 20.70784568786621, 24.647092819213867, 24.769020080566406, 24.796199798583984, 25.089502334594727, press_key
555, 360, 195, 51119, 29417, 21702, 66, 754, 92.10630630630631, 53.66940390190164, 2880.4049151854547, 107.91695799222241, 9.662763129420654, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 171, 81.71388888888889, 17.19088344924228, 295.5264737654321, 1.1447048760940748, 3.818900823082269, 66.0, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 754, 111.29230769230769, 84.17242189396161, 7084.996607495068, 6.447372931476918, 42.96431052363563, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 105.0, 502.655029296875, 0.0059604644775390625, 51.456364483609526, 71.28389825434384, 5081.394150335645, 1.5496913861542385, 1.267016651528631, 0.03981590270996094, 0.0400543212890625, 0.05187988281250001, 9.599828720092773, 13.376951217651367, 13.518571853637695, 28.931164741516096, 161.58008575439453, 161.59701347351074, 0.0059604644775390625, 502.655029296875, 70.49342383913343, 81.9053742089468, 6708.490324307607, 0.623333408855952, 0.08996664985341774, 0.03886222839355469, 0.03981590270996094, 0.0400543212890625, 0.04291534423828125, 0.18405914306640625, 161.53826713562012, 161.58080101013184, 161.5920066833496, 161.60645484924316, 0.2110004425048828, 155.5159091949463, 16.408650080362957, 13.795675749195839, 190.32066937695015, 6.978844544055606, 60.00960237868231, 9.59329605102539, 13.305330276489258, 13.355398178100586, 13.376951217651367, 13.389110565185547, 13.41104507446289, 15.00511169433593, 17.27585792541504, 24.885177612304688, press_key
808, 488, 320, 78873, 42589, 36284, 66, 764, 97.61509900990099, 51.21275869554402, 2622.7466532080193, 123.23421956045287, 10.253662782106105, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 66, 171, 87.27254098360656, 18.145515639013883, 329.2597378056974, 0.46921012648652327, 1.6835934985851937, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 66, 764, 113.3875, 75.5540772807795, 5708.41859375, 7.457840234168298, 57.76557488988891, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 461.4429473876953, 0.0059604644775390625, 39.41750319621524, 61.714462463909314, 3808.6748772092715, 2.5961316652794073, 1.7041945419109643, 0.05698204040527344, 0.06427764892578126, 0.21505355834960938, 0.3250598907470705, 13.374805450439453, 17.801094055175763, 24.799156188964844, 50.068378448486875, 161.58089637756348, 0.0059604644775390625, 461.4429473876953, 52.24767162080173, 76.17401148723992, 5802.480026058159, 1.0017272638930235, 0.1358656077235536, 0.05698204040527344, 0.05793571472167969, 0.06103515625, 0.19826889038085938, 0.21505355834960938, 0.23875236511230466, 161.48076057434082, 161.56964302062988, 161.5910530090332, 0.24509429931640625, 137.92705535888672, 19.891590625047684, 11.940295542245368, 142.5706576361646, 5.315582275548589, 42.738114671427454, 12.862849235534675, 13.360023498535156, 13.396692276000977, 13.472175598144531, 17.74609088897705, 23.530054092407234, 24.737238883972168, 24.843215942382812, 26.514124870300293, press_key
799, 482, 317, 78120, 42115, 36005, 66, 759, 97.77221526908636, 51.302784023231965, 2631.9756485343846, 121.47615055450136, 10.18201112277951, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 66, 171, 87.37551867219916, 18.182855857582386, 330.61624713761813, 0.4660845994051584, 1.6818677282710066, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 66, 759, 113.58044164037855, 75.61051615845625, 5716.950153748173, 7.410738013972624, 57.00732747593299, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 460.129976272583, 0.006198883056640625, 39.27163641554371, 62.222026064887125, 3871.5805276194924, 3.084757284157881, 1.789479169677497, 0.0400543212890625, 0.0629425048828125, 0.23708343505859375, 0.3283023834228518, 13.390064239501953, 19.599246978759762, 24.769878387451172, 43.09921264648438, 161.58294677734375, 0.006198883056640625, 460.129976272583, 51.60947995969015, 75.94149476856435, 5767.110627683888, 1.0235722161235525, 0.1908857232872765, 0.03910064697265625, 0.04100799560546875, 0.0591278076171875, 0.19693374633789062, 0.23794174194335938, 0.27298927307128906, 119.60816383361816, 161.5750789642334, 161.5910530090332, 0.24890899658203125, 342.29302406311035, 20.55080756780101, 20.3458482551257, 413.9535412206015, 12.827840691112202, 195.78528010776353, 13.02328109741211, 13.378524780273438, 13.416576385498047, 15.500545501708995, 19.888877868652344, 24.486446380615234, 24.693822860717773, 24.82161521911621, 26.651239395141605, press_key
796, 483, 313, 76858, 42028, 34830, 66, 754, 96.55527638190955, 46.23672657336478, 2137.8348842200962, 144.98990745482655, 10.924764338864145, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 66, 171, 87.01449275362319, 17.80634837770182, 317.0660425480842, 0.3273597998882238, 1.1064064011057324, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 66, 754, 111.27795527156549, 67.75172723100084, 4590.296542783942, 8.20840811090825, 71.17458818777531, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 460.12401580810547, 0.0050067901611328125, 39.78002026395978, 62.62241555773683, 3921.56693028588, 2.5595860184076127, 1.70675539549934, 0.03910064697265625, 0.06008148193359375, 0.21386146545410156, 0.29659271240234375, 13.401985168457031, 18.075084686279297, 24.789047241210938, 51.19438171386884, 161.5640163421631, 0.0050067901611328125, 460.12401580810547, 52.70041964360787, 76.51233683790474, 5854.137688396995, 0.9854309486459257, 0.07352683710793251, 0.03886222839355469, 0.0400543212890625, 0.05793571472167969, 0.19636154174804688, 0.21409988403320312, 0.23159980773925778, 161.49165630340576, 161.55314445495605, 161.58390045166016, 0.2970695495605469, 278.472900390625, 19.883430803926608, 17.105124831071382, 292.58529548653485, 11.483320209284118, 166.1239505070798, 9.562873840332031, 13.386011123657227, 13.414144515991211, 13.51170539855957, 18.073081970214844, 23.142480850219716, 24.71156120300293, 24.84912872314453, 25.024986267089844, press_key
1055, 612, 443, 104576, 55441, 49135, 66, 744, 99.12417061611374, 39.63861315369323, 1571.2196527481417, 180.1321268650311, 11.91375656974499, 66.0, 95.0, 95.0, 95.0, 95.0, 104.0, 104.0, 111.0, 111.0, 66, 171, 90.58986928104575, 17.21215452468416, 296.25826338160533, -0.1460739397092553, 0.762615484093855, 66.0, 66.0, 95.0, 95.0, 95.0, 104.0, 104.0, 104.0, 104.0, 66, 744, 110.91422121896163, 55.614213320560694, 3092.9407232648305, 9.699329859012268, 100.98216118167404, 95.0, 95.0, 95.0, 95.0, 111.0, 111.0, 111.0, 111.0, 111.0, 459.90705490112305, 0.0030994415283203125, 33.55148779599445, 56.15499374025537, 3153.38332196812, 4.1677598215246165, 2.0560731773782592, 0.05602836608886719, 0.19259452819824222, 0.20599365234375, 0.23603439331054688, 13.391971588134766, 20.913076400756836, 24.77097511291504, 27.97112464904792, 161.5776538848877, 0.0030994415283203125, 459.90705490112305, 42.50964985736653, 71.77869585144063, 5152.18117813362, 1.3107574860567706, 0.8422536419316642, 0.05412101745605469, 0.05698204040527344, 0.18215179443359375, 0.19502639770507812, 0.20503997802734375, 0.2110004425048828, 0.2460479736328125, 161.5588665008545, 161.59296035766602, 0.2110004425048828, 190.37985801696777, 21.196099490129114, 11.542926646678609, 133.2391555706031, 8.151633631467524, 109.40914845500198, 13.205671310424805, 13.401222229003906, 15.637826919555645, 20.787954330444336, 24.637937545776367, 24.76210594177246, 24.781370162963867, 24.819326400756836, 28.467369079589844, press_key
413, 265, 148, 39434, 21821, 17613, 66, 749, 95.4818401937046, 68.51816382783224, 4694.7387743376585, 73.469506403315, 8.244892194853499, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 171, 82.3433962264151, 18.671110864607826, 348.6103809184764, 1.5401217297919856, 5.235990877004392, 66.0, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 749, 119.00675675675676, 107.76899071510155, 11614.155359751645, 5.2563035656394295, 26.97851987287649, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 124.6000000000007, 502.669095993042, 0.0069141387939453125, 50.653196654273465, 72.87519377702725, 5310.793868039271, 3.6657826002172706, 1.6163869419169252, 0.05698204040527344, 0.05893707275390625, 0.09143352508544915, 13.281488418579102, 13.370990753173828, 13.430213928222656, 26.752018928527832, 161.5687370300293, 161.5959644317627, 0.0069141387939453125, 502.669095993042, 67.8593037706433, 82.18563308869088, 6754.478286188921, 0.8154922898408898, 0.880192593219538, 0.05698204040527344, 0.05698204040527344, 0.05888938903808594, 0.064849853515625, 0.19550323486328125, 116.24126434326155, 161.57102584838867, 161.58981323242188, 161.60504817962646, 0.24390220642089844, 422.1200942993164, 19.961221798046214, 35.57367406493376, 1265.4862864781408, 9.96032659931506, 107.81403555096028, 13.281774520874023, 13.326215744018555, 13.356184959411621, 13.374042510986328, 13.390421867370605, 13.40780258178711, 13.501238822937012, 20.944976806640625, 25.45216083526613, press_key
424, 273, 151, 40261, 22407, 17854, 66, 744, 94.95518867924528, 67.38746994177092, 4541.071105153078, 74.99328051172093, 8.317888746407728, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 171, 82.07692307692308, 18.58407138422211, 345.36770921386307, 1.5464792484437522, 5.247659006514789, 66.0, 66.0, 66.0, 66.0, 74.0, 95.0, 95.0, 95.0, 95.0, 66, 744, 118.23841059602648, 106.22958447316522, 11284.724617341346, 5.302462811467684, 27.512173135624245, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 106.0, 502.64906883239746, 0.0059604644775390625, 49.13781044331003, 70.3059940576707, 4942.932800437228, 2.8097534371916213, 1.4799386436612487, 0.03910064697265625, 0.0400543212890625, 0.052070617675781236, 13.266324996948242, 13.373136520385742, 13.431835174560547, 27.399587631225547, 161.5889072418213, 161.6018295288086, 0.0059604644775390625, 502.64906883239746, 67.19761385637172, 81.89947553389757, 6707.524092727486, 0.8241911275216665, 0.8662357109816683, 0.03814697265625, 0.03981590270996094, 0.0400543212890625, 0.04100799560546875, 0.18143653869628906, 107.0744514465332, 161.5891456604004, 161.59682273864746, 161.60788536071777, 0.2949237823486328, 101.88007354736328, 16.606244030377724, 10.886448451610194, 118.51475988956598, 4.593829641142857, 29.359849368401612, 13.273000717163086, 13.339996337890625, 13.364076614379883, 13.377904891967773, 13.389110565185547, 13.41390609741211, 13.51785659790039, 20.300865173339844, 24.959087371826172, press_key
406, 260, 146, 38175, 21460, 16715, 66, 749, 94.02709359605912, 60.74372196818276, 3689.7997585478893, 91.51670818653304, 9.087607460749835, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 104.0, 66, 171, 82.53846153846153, 18.068312188066816, 326.4639053254438, 1.287451026315998, 4.309262799574926, 66.0, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 749, 114.48630136986301, 95.00354977516248, 9025.674469881777, 5.960228620690507, 35.49661223978089, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 111.0, 502.64596939086914, 0.0050067901611328125, 50.635915921058185, 74.14337983673671, 5497.240773614617, 4.744142700979637, 1.7551428516311125, 0.05803108215332031, 0.06008148193359375, 0.14595985412597656, 13.269662857055664, 13.365983963012695, 13.420820236206055, 25.084686279296864, 161.56697273254395, 161.5955352783203, 0.0050067901611328125, 502.64596939086914, 68.18458472439681, 82.68526153215771, 6836.8524746413195, 0.8083393733901815, 0.8434307362125444, 0.05793571472167969, 0.05888938903808594, 0.05984306335449219, 0.06604194641113281, 0.19621849060058594, 120.9347248077392, 161.5680694580078, 161.5900993347168, 161.59992218017578, 0.24390220642089844, 487.3831272125244, 19.505058249382124, 40.06708009657573, 1605.3709074654148, 10.972498865362272, 124.50735613401467, 13.288140296936035, 13.342857360839844, 13.356566429138184, 13.367891311645508, 13.379931449890137, 13.399839401245117, 13.515472412109375, 21.1639404296875, 24.83952045440674, press_key
457, 294, 163, 43218, 24170, 19048, 66, 749, 94.56892778993435, 65.54254433319434, 4295.825117668745, 81.16899559290943, 8.642320749814463, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 171, 82.21088435374149, 18.305692691952526, 335.09838493220417, 1.4777012671363363, 5.118730550539357, 66.0, 66.0, 66.0, 66.0, 95.0, 95.0, 95.0, 95.0, 95.0, 66, 749, 116.85889570552148, 103.28315224387201, 10667.409537430844, 5.5432293532892505, 30.190343737428073, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 104.0, 502.41708755493164, 0.006198883056640625, 50.657359654443304, 70.94437892352383, 5033.104900844532, 2.257776644796609, 1.37701619478865, 0.03981590270996094, 0.04100799560546875, 0.05900859832763672, 9.552001953125, 13.388991355895996, 17.16303825378418, 27.863502502441406, 161.57913208007812, 161.59749031066895, 0.006198883056640625, 502.41708755493164, 69.44428938647586, 82.1891538731815, 6755.057014389506, 0.725203923643223, 0.5404501416093628, 0.03910064697265625, 0.0400543212890625, 0.04100799560546875, 0.04372596740722657, 0.1919269561767578, 129.41737174987747, 161.58008575439453, 161.59257888793945, 161.60507202148438, 0.2689361572265625, 104.24208641052246, 16.88698903183264, 12.764686988790729, 162.9372339218033, 5.061715551307578, 30.458843919724323, 9.530258178710938, 13.243865966796875, 13.365602493286133, 13.390636444091797, 13.427972793579102, 13.520288467407227, 17.1811580657959, 19.840717315673817, 24.94521141052246, press_key
